FANOUT,AVG_TIME,RUN,FAILED
10,1688.3999999999999,1,0
10,1315.8000000000002,2,0
50,1475.0,1,0
50,1441.8999999999999,2,0
100,1812.7,1,0
100,1658.1999999999998,2,0
