PARAM,AVG_TIME,RUN,FAILED
1,501.90000000000003,1,0
1,477.2,2,0
1,491.70000000000005,3,0
10,1088.0,1,0
10,1115.1,2,0
10,677.0,3,0
20,1361.0,1,0
20,1253.9,2,0
20,890.1,3,0
50,1331.5,1,0
50,991.7,2,0
50,1028.8999999999999,3,0
100,2144.2000000000003,1,0
100,2114.7,2,0
100,1509.6000000000001,3,0
1000,9288.1,1,0
1000,14375.6,2,0
1000,21979.399999999998,3,0
